Device;Load Type;Profile;Number of Activations
AEG NM 2701 Premium;Apparent;01 h 0 min 30% [Synthetic];286
AEG NM 2701 Premium;Electricity;01 h 0 min 30% [Synthetic];286
AEG NM 2701 Premium;Inner Device Heat Gains;01 h 0 min 30% [Synthetic];286
AEG NM 2701 Premium;Reactive;01 h 0 min 30% [Synthetic];286
Bar;None;04 h 0 min 100% [Synthetic];23
Bath Tub;Warm Water;0 h 15 min 100% [Synthetic];31
Bath Tub;Warm Water;0 h 20 min 100% [Synthetic];37
Bathroom Light (100W);Apparent;Bath - light [Synthetic for Light Device];2730
Bathroom Light (100W);Electricity;Bath - light [Synthetic for Light Device];2730
Bathroom Light (100W);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];2730
Bathroom Light (100W);Reactive;Bath - light [Synthetic for Light Device];2730
Bathroom Mirror Light 10 W (LED);Apparent;Bath - light [Synthetic for Light Device];2730
Bathroom Mirror Light 10 W (LED);Electricity;Bath - light [Synthetic for Light Device];2730
Bathroom Mirror Light 10 W (LED);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];2730
Bathroom Mirror Light 10 W (LED);Reactive;Bath - light [Synthetic for Light Device];2730
Bathroom Sink 10L/min;Cold Water;0 h 01 min 100% [Synthetic];129
Bathroom Sink 5 L/Min;Warm Water;0 h 01 min 100% [Synthetic];7093
Bathroom Sink 5 L/Min;Warm Water;0 h 01 min 50% [Synthetic];694
Bed 1;None;08 h 0 min 100% [Synthetic];349
Bed 2;None;08 h 0 min 100% [Synthetic];349
Bed 4;None;10 h 0 min 100% [Synthetic];347
Bed 5;None;10 h 0 min 100% [Synthetic];332
Bed 5;None;12h 0 min 100% [Synthetic];15
Bedroom Light (200W);Apparent;Bedroom - light [Synthetic for Light Device];5707
Bedroom Light (200W);Electricity;Bedroom - light [Synthetic for Light Device];5707
Bedroom Light (200W);Inner Device Heat Gains;Bedroom - light [Synthetic for Light Device];5707
Bedroom Light (200W);Reactive;Bedroom - light [Synthetic for Light Device];5707
Book;None;0 h 01 min 100% [Synthetic];9119
Book;None;01 h 0 min 100% [Synthetic];12
CD/DVD Player / Phillips CD 380;Apparent;01 h 30 min 100% [Synthetic];328
CD/DVD Player / Phillips CD 380;Apparent;02 h 0 min 100% [Synthetic];295
CD/DVD Player / Phillips CD 380;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];8775
CD/DVD Player / Phillips CD 380;Electricity;01 h 30 min 100% [Synthetic];328
CD/DVD Player / Phillips CD 380;Electricity;02 h 0 min 100% [Synthetic];295
CD/DVD Player / Phillips CD 380;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];8775
CD/DVD Player / Phillips CD 380;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];328
CD/DVD Player / Phillips CD 380;Inner Device Heat Gains;02 h 0 min 100% [Synthetic];295
CD/DVD Player / Phillips CD 380;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];8775
CD/DVD Player / Phillips CD 380;Reactive;01 h 30 min 100% [Synthetic];328
CD/DVD Player / Phillips CD 380;Reactive;02 h 0 min 100% [Synthetic];295
CD/DVD Player / Phillips CD 380;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];8775
Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260;Apparent;0 h 30 min 100% [Synthetic];11
Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260;Electricity;0 h 30 min 100% [Synthetic];11
